text,Olek,Kuba,Zgodne?,Stachu,Finalna anotacja
"Super kijek. Odrobinę krótszy niż większość standardowych kijków (tak z 5-10cm) ale i tak jest ok. Za to dobrze wykonany, solidny, nie chwieje się tak jak ta tania tandeta. Jest ładny. Fajnie się składa. No i uważam, że rozwiązanie z minijackiem jest lepsze niż kijki bluetooth, dużo szybsze do przygotowania, nie trzeba się bawić w żadne parowanie bluetooth tylko cyk i już.",2,2,T,,2
"Jestem zadowolony. Używam od ponad 2 tygodni (słucham dużo muzyki przez Tidal). Dźwięk jest przyjemny, ale kabel wydaje się być delikatny (nie sądzę, żeby był w stanie wytrzymać rok). Dodatkowo wadą jest ten pilot (przyciski dosyć ciężko się naciska). Pilot mógłby być też lepiej umiejscowiony.   Jednak sam mikrofon nadaje się do rozmów",1,1,T,,1
"Pozytywne opinie na temat tego uchwytu zachęciły mnie do jego zakupu, niestety bardzo się rozczarowałam. Uchwyt wcale nie trzyma się kokpitu, już po chwili sam się odkleja. Próbowałam zamontować go kilka razy, niestety nie udało się. Być może do szyby się nada, ale jeśli ktoś chce ten uchwyt na kokpit to nie polecam, strata pieniędzy. ",0,0,T,,0
"W sumie uchwyt działa sprawnie - jedynym problemem jest fakt, że mam zamykane etui na telefon i albo trzeba zrezygnować z ładowania i przykrywkę odwinąć do tyłu (pod telefon) - lub korzystać z ładowania z zamkniętą klapką (brak możliwości odebrania połączenia, nie widać kto dzwoni itp itd. Sam uchwyt choć na początku zwróciła moją uwagę delikatność wykonania spisuje się zupełnie bez zarzutów. ",1,1,T,,1
"Telefon zgodny z opisem. Tak jak było podane - kilka rysek na obudowie, bo powystawowy, ale sprzęt działa jak nowy i świetnie się sprawdza. Fajnie, ze etui i szybka są w gratisie.  Mój pierwszy iphone. Oprogramowanie ios bardzo mi się podoba i jest bardziej funkcjonalne niż android. Aparat robi zdjęcia o bardzo naturalnych kolorach, dobrej jakości ",2,2,T,,2
Po wyjęciu z opakowania wygląda na to że towar jest ok. Telefon dobrze trzyma się w uchwycie. Materiał na tyle giętki że da się formować i na tyle sztywny że sam się nie odkształca. Jednym słowem w sam raz. Może służyć do trzymania telefony na szyi jak i w ręku. Całkiem fajny pomysł.,2,1,N,1.0,1
"O Ile inny produkt tej firmy został mi polecony przez profesjonalnego fryzjera, tak ten konkretny jest po prostu chińskim tworem z naklejką WAHL. Maszynka w dotyku tania i lekka. Nie sprawia dobrego wrażenia. Silniczek wydaje przeraźliwe dźwięki i działa tylko wpięty sieciowo. Ledwo zipie na akumulatorze, dlatego nie polecam jeśli ktoś chce używać mobilnie. ",0,0,T,,0
"ciężko podważyć ich oryginalność, na co dostałem zapewnienie, bo wyglądają identycznie jak te dołączone do Samsunga S8 za 2500zł, które miałem okazję testować od znajomego (dlatego się połasiłem) Niemniej grają o wiele słabiej. Mają zdecydowanie mniej dołu, są cichsze, dźwięk jest mniej nasycony. Reasumując sugeruję testować je na miejscu i wtedy podejmować decyzję w celu uniknięcia rozczarowania. pozdrawiam.      ",0,0,T,,0
"""Zasługuje na dwie i pół gwiazdki. Łączenie z odbiornikiem dobre, nie zawsze można odebrać poprzez przycisk. Niska jakość i wytrzymałość pałąka mocowania, powinna byś profilowana. Po dwóch miesiącach kupiłem nowy, po kolejnych znowu. W uchu siedzi dobrze, lecz ze względu na kształt gumy zaczyna """"drażnić"""", odbiorca połączenia niezależnie od marki telefonu, smartfona narzeka na jakość połączenia, użytkownik ma świetną słyszalność. Nie kupię powtórnie.""",0,1,N,0.0,0
"Drukarka laserowa ma pojemnik na arkusze A4 do 250 szt. czyli kartki nie są narażone na pogniecenie, zakurzenie jak w tańszych modelach z podajnikiem kartek i drukuje dwustronnie. Można też podawać kartki pojedynczo z osobnej tacki co jest bardzo wygodne np. przy zmianie formatu, koloru kartki itp. Cena niewiele wyższa od najtańszych modeli tej firmy.",2,1,N,1.0,1
"Takiego telefonu oczekiwałem. Nie lubię martwić się co się stanie jak wypadnie mi z ręki lub wypadnie z kieszeni. Ten wytrzyma niemal wszystko a do tego szybki, świetny ekran, 2 karty SIM + micro SD. Nie jest może cienki jak kartka papieru, ale dobrze leży w ręce, naprawdę solidny. Bateria na kilka dni + szybkie ładowanie. Dla mnie same plusy. Polecam!",2,2,T,,2
"Uchwyt wykonany solidnie. Montaż jest bardzo prosty i stabilny. Bez problemu można przepiąć uchwyt czy poprawić ustawienie telefonu za pomocą nakrętki. Telefon nakładasz na dolną część i boki same się 'zamykają'. Raczej nic nie trzeszczy, nie pęka. Jeśli w czasie jazdy nie ma w uchwycie telefonu potrafi wydać z siebie odgłosy ruszających się zębatek, ale nie jest to uciążliwe. Polecam!",0,2,N,2.0,2
"""Jakość tego produktu jest fatalna. Końcówka USB jest wadliwa i bardzo luźno siedzi w gniazdku, więc komputer przeważnie w ogóle nie widzi tego dysku, a każde potrącenie czy dotknięcie kabelka powoduje podłączenie/rozłączenie. Sama obudowa wygląda na bardzo kiepską i niesolidną. Dysk w środku """"lata"""", jak potrząśnie się nim lekko, słychać stukot. Nie zapisałabym na nim moich plików. Nie można zaufać temu produktowi... """,0,0,T,,0
"Najlepszy uchwyt samochodowy jaki miałem do tej pory. Koniec problemu z odpadającymi przylepami. Na kratce wentylacyjnej uchwyt trzyma się pewnie, a telefon pewnie leży w uchwycie. Dodatkowa zaleta to dobre chłodzenie telefonu w upalne dni dzięki nadmuchowi z kratki wentylacyjnej, co niestety przy uchwytach montowanych na szybie nie jest możliwe. Polecam!",2,2,T,,2
"Po kilku beznadziejnych słuchawkach (reklamowanych jako super produkt) firmy Samsung, ta słuchawka jest jak przesiadka z furmanki na mercedesa. Mam już 2 takie i cały czas od ok pół roku działają bez zarzutu. Świetnie zaprojektowany uchwyt na ucho i działające przyciski to jest to czego potrzebuję. Nigdy więcej produktów Samsung !!! Plantronics jest OK !!",2,2,T,,2
"Części odpowiadająca za przylepienie/przyczepienie super. Nigdy nie spada i wręcz lepi się do szyby. Natomiast na głowicy kulkowej są duże wstrząsy które przenoszą się na telefon podczas jazdy. Wiec telefon zawsze się trzęsie na uchwycie. Dopiero zamontowanie mniejszego telefony poniżej 4,5 cala minimalizuje w/w objawy. Do dużych telefonów uchwyty z głowicami są beznadziejne. ",1,1,T,,1
"niestety  przystawka absolutnie nie spełnia swojej roli tak jak mowa w nazwie . Wyciskane maliny wraz z sokiem i tak wychodziły wylotem z przodu maszynki  . a bokiem tylko niewielka ilość soku. Pomimo regulacji pokrętła z przodu przystawki , nic to nie dało . Jestem nie zadowolona z takiego rozwiązania.",0,0,T,,0
"Jeśli chodzi o myszkę liczyłem na trochę lepsze wykonanie, główne przyciski dość głośne, boczne przyciski są zbyt miękkie i mają za duży skok. Jeśli chodzi o plusy to na pewno świetny scroll, szeroki i wygodny. Dobra ergonomia, ale to już zależy od wielkości dłoni, gdyż myszka jest przeznaczona dla ludzi z dość dużym dłońmi. Świetnie wykonany kabel. Dobra precyzja sensora.",1,1,T,,1
"Produkt świetny, jedyne co się nie sprawdza to nakładka goląca zarost i podstawka. Podstawka mało stabilna, kiepsko mieszczą się na niej końcówki. Porównując nakładkę do golarki do innej golarki firmy Wahl to nakładka w zestawie mimo iż jest podwójna jest beznadziejna. Pojedyncza golarka Wahl ledwo daje radę, nakładka zostawia większość włosków niezgolonych.",0,1,N,1.0,1
"""""""Elastyczny"""" to niefortunne okreslenie, to jest kawal drutu, ktory pewnie po rozgrzaniu  w piecu jest elastyczny ;). NIEMNIEJ jesli juz komus uda sie wygiac go w żadany ksztalt, to jest dosc stabilny. Raczej do wygiecia raz i zostawienia w tej pozycji, a nie do zmieniania co chwile umiejscowienia. Sam uchyt do mocowania do np. blatu - OK.""",2,1,N,1.0,1
"Faktycznie ciche i miękkie klawisze, aż przyjemnie klikać. Dobra jakość materiałów. Plastikowe boki robią się śliskie, ale nie brudne, więc wolę takie od gumowych. Szerokie ślizgacze nie odlepiają się. Bardzo precyzyjna (3 ustawienia dpi). Jedyny minus: podświetlenie rozładowuje akumulator w tydzień/dwa, ale można je wyłączyć. Da się też używać podczas ładowania z USB. Za taką cenę - fenomen.",2,2,T,,2
"Moja stara N72 padła po 8 latach użytkowania. Nikt nie chciał podjąć się naprawy. Kupiłem ten sam model ze względu na bezawaryjność, przyciski (sic!) i sentyment. Choć również jestem użytkownikiem smartfona, to preferuję telefony z klawiaturą, zwłaszcza, gdy korzystam z urządzenia na mrozie czy deszczu. Nokia E72 nigdy mnie nie zawiodła.",1,2,N,1.0,1
"Pierwszy raz miałem przypadek, że po wlaniu do kartridża i włożeniu go do stacji, owa stacja oszalała. Kartridż czyściutki, uzupełniony tym płynem, a stacja stwierdziła, że potrzebna jest wymiana kartridża... Nie wiem czym to jest spowodowane, ale kupuję już Bioprettę od 2 lat i zalewam nią ten sam kartridż i do teraz nie było problemów. Braun 9260CC.",0,1,N,1.0,1
"jedyne co się zgadza to ze pokrywa cały ekran. natomiast to niby dopasowanie polega na 2 grubościach normalnie z chamskim schodkiem, żadnego zaokrąglenia. telefon wygląda gorzej niż ze zwykłym szkłem. szkło nie będzie pasowało do większości etui chroniących przód telefonu, gdyż trzyma się na tyle słabo że etui je odrywa od ekranu. ",0,0,T,,0
"Bardzo trafiony zakup, niska cena w stosunku do jakości, bardzo dobrze wykonany, przyjemny wygląd. Po pierwszym naładowaniu do pełna naładowałem swojego smatrfona od okoo 15-20% do 100% pięć razy (samsung S3 I9305 Poj baterii 2100mAh) co przy noname'owym power banku o tej samej pojemności udało się nie całe 3x. Produkt godny polecenia.",2,2,T,,2
"Trudno ocenić , ale wydaje mi się ,że nie są zbyt skuteczne do twardej wody. Do ekspresu używałem wyłącznie wody z tego filtra i zakamienił się bardzo szybko. Podejrzane wydaje mi się to ,że woda przelewa się przez filtr bardzo szybko i nie wiem czy ma czas się odkamienić . Ogólnie jestem rozczarowany.   ",0,0,T,,0
"Jak się przetrze czymś mokrym to faktycznie mocno klei (aż trudno potem oderwać ;p), aczkolwiek trzeba czyścić po kilku użyciach, inaczej od wstrząsu zamykanych drzwi telefon potrafi odpaść. Samo ramię trochę się trzęsie na wybojach, ale generalnie wykonanie i plastiki są ok. Jak za 10zł to jestem zadowolony, ale nie polecam tego uchwytu kierowcom zawodowym.",1,1,T,,1
"Pendrive solidnie wykonany,wytrzymały.Jeżeli chodzi o prędkość przesyłania danych to niestety jest kiepsko.Na usb 3.0 od 40 mb/s i spada.Mam dysk innej firmy o pojemnosci 600 gb i bez usb 3.0 mam stabilnosc predkosc na poziomie 60 mb.  Jako dodatkowy pendrive w ktorym mamy zapasowe pliki na pewno polecam, do szybkiego przesylania danych niestety sie nie nadaje :(",1,1,T,,1
"Bardzo dobre 2-warstwowe szczotki pracują w 11 letniej pralce Amica i praktycznie nie iskrzą. Na pewno nie wytrzymają tyle co produkcyjne, ale przy tej cenie mógłbym je wymieniać nawet co rok. Jest to proste, a w pralce wystarczy zdjąć tylko jedną klapę przykręconą 2 blachowkrętami i szczotki praktycznie mamy na wierzchu. ",2,2,T,,2
"Tym razem zostałem miło zaskoczony przez firmę Green Cell. Ładowarka jest wykonana bardzo dobrze, nie grzeje się, dobiera odpowiedni prąd do urządzenia. Matowa, przez co nie zbiera żadnych rys no i można powiedzieć, że dzięki swoim kształtom również elegancka :D Lecz nie to jest najważniejsze - działa dobrze, obsługuje QC 3.0, czego chcieć więcej w tej cenie? :) ",2,2,T,,2
"Bardzo dobry watomierz. Teraz wiem co najwięcej mi zżera prądu - Lodówka. Można sprawdzić czy opis zużycia energii różnych sprzętów zgadza się z rzeczywistością. I dowiedzieć się, że nawet pozostawienie w gniazdku przewodu od pralki powoduje pobieranie ok. 1W energii. Niby niewiele 5zł. na rok to kosztuje. Ale jeszcze inne sprzęty, ruter, ładowarki , telewizory i trochę się uzbiera. ",2,0,N,2.0,2
"Jedno z połączeń ma luzy. Tego luzu nie można skasować.  Kamera nagrywa ładny obraz tylko podczas jazdy po  gładkim jak stół asfalcie. Na wszelkich nierównościach  wpada w takie drgania, że miałem obawy czy się nie urwie.  Wkręt (malutki) metalowy wkręcony w plastik to marny  pomysł na przenoszenie drgań. W oczach widać jak luz  robi się coraz większy.",0,0,T,,0
"Generalnie - patchcord, jak patchcord. Działał.  Niestety - muszę odjąć jedną gwiazdkę za długość gotowania - jak na spaghetti - niestety zdecydowanie za długo się gotuje. Aczkolwiek - dobrze przyprawiony - jak najbardziej ok.  Trzeba tylko pamiętać, aby zdjąć wcześniej wtyczki - pomimo zieleni - nie dostarczają one żadnych wartości odżywczych ....",1,1,T,,1
"Etui w żaden sposób nie chroni telefonu, przy bardzo małym upadku dosyć, że magnesy się rozczepily to tylna pokrywa pękła. Dzięki temu zamiast super ochrony telefonu mam go rozwalonego.!!! W dodatku szkło pękło na 3 dzień użytkowania z niewiadomych przyczyn (chyba najbardziej cieniutkie szkło). Nie polecam. Lepiej kupić gumowe etui za 5 złoty... ",0,0,T,,0
"Jakość wykonania adekwatna do ceny. Szkło chroni w pełni wyświetlacz, ale trzeba pamiętać , że nie jest to pancerne szkło. Zakrywa cały wyświetlacz z tym , że szkło nie jest zakrzywione. Klej trzyma bardzo dobrze. Może ulec zniszczeniu przy mocniejszym uderzeniu. Ogólnie produkt bardzo tani, więc zakupiłem kilka szt na wypadek zniszczenia ;) Polecam",2,1,N,1.0,1
"Produkt ok. Czyścik jest estetyczny i spełnia swoje zadanie. Co prawda czarna farba na puszce sprawia wrażenie jakby miała lada moment zejść, ale to i tak nie jest sprzęt, z którym ktokolwiek bedzię się deliktanie obchodzić ;) Instrukcja na pudełku po angielsku przerzucona z chińskiego tłumaczem dodaje temu przedmiotu specyficznego uroku xd Przedmiot godny polecenia zwłaszcza za taką cenę.",2,1,N,1.0,1
"Etui na zdjęciu prezentuje się elegancko jednak w rzeczywistości totalny badziew. Plastik słabej jakości, ma się wrażenie że montujac telefon w obudowie zaraz wszystko popęka (choć i tak do mnie produkt trafił już uszkodzony więc telefon nie mógł być umieszczony w etui) klapka obudowy w ogóle się nie domyka, lata bezwładnie w lewo i prawo. Również nie polecam",0,0,T,,0
Wszystko ok.                                                                                                                                                                                                                                      Polecam,2,2,T,,2
"Lokówka za tę cenę w porządku, raczej do okazyjnego korzystania i na pewno konieczne jest utrwalenie loków, bo nie ma zbyt wysokiej temperatury, żeby same z siebie długo się trzymały. Jeśli ktoś chce korzystać na co dzień, lepiej kupić coś z regulacją temperatury, jeśli tylko od czasu do czasu, to będzie ok.",1,1,T,,1
"Wszystko w porządku. Działa jak należy. Niestety, jeśli mamy gniazdko, gdzie bolec od górnego portu jest w dolnej cześci, a bolec od dolnego portu jest w górnej części, to niestety nie da się włożyć programatora tak, żeby zająć to drugie gniazdko przez inne urządzenie. Programator spięty z bojlerem, nie nagrzewa się nadmiernie.",1,1,T,,1
"Niestety szkło w zamyśle jest do Nokii 7,1 aczkolwiek w rzeczywistości pasuje, ale tylko na szerokość. Na długość już nie bardzo. Przy próbie montażu okazało się, że wycięcie na przedni aparat nie jest kompatybilne gdyż zasłania część aparatu oraz czujnika zbliżeniowego. Aby tego uniknąć należy zamocować szkło tak aby w górnej części wystawało poza obrys telefonu ok. 1.5 mm...",1,0,N,0.0,0
"Niestety, plastikowe uchwyty ułamały się po ok 2 tyg. mimo że telefon ani nie upadł, ani nie został uderzony. Generalnie etui fajne ale zrobione z bardzo słabego materiału, ale czego można oczekiwać od etui za 9zł gdy oryginał kosztuje ponad 100zł. Oczywiście nie jest to wina sklepu, nie jest on producentem. Szkło na telefon jak najbardziej OK",1,1,T,,1
"To nie jest zarzut, ale rada. Jeśli zrobiłeś bochenek w tosterze, nie usuwaj go natychmiast. Pozwól mu wchłonąć całe ciepło z elementu grzejnego tostera. Natychmiast zaczęliśmy gotować bochenek w tosterze i natychmiast go wyjęliśmy. A po 3 razach zwróć uwagę, że korpus tostera stopił się trochę, prawie do dziury. To jego wada - cienkie obudowa.",0,1,N,1.0,1
"Szkło pasuje idealnie, założenie nie sprawia dużego problemu. Jednak strasznie łapie wszelkie zabrudzenia, palcuje się. Po pierwszym upadku telefonu z wysokości około 50 cm szkło odkleiło się. Spowodowane jest to małą powierzchnią kleju - tylko na rantach wokół. Cała powierzchnia ekranu tylko przylega. Trzeba zwiększyć czułość dotyku urządzenia aby można było normalnie używać telefonu.",0,1,N,1.0,1
"""Podstawową funkcję raczej spełnia tj. filtruje. Niestety brak tej (zazwyczaj niebieskiej) """"czapki"""" z okienkiem do zaznaczania miesiąca. Numery miesięcy są, ale nie ma jak zaznaczyć, niestety zorientowałem się już po wyrzuceniu starego filtra więc przełożenie nie wchodzi w grę. Przez brak tego elementu filtr nie siedzi w zbiorniku na wodę sztywno tylko się kiwa.""",1,1,T,,1
"Drugi raz już nie popełnię tego samego błędu. To szkło jest niedopasowane do telefonu, szybko się odkleja, a przez to dotyk nie działa jak powinien. Ogólnie strata czasu i pieniędzy na tego typu szkła. Lepiej poszukać szkła, które być może nie jest zaokrąglone na krawędziach, za to lepiej spasowane do telefonu",0,0,T,,0
"Zakupiony egzemplarz nie był dobrze spasowany, ramka etui delikatnie wygięta, kłopot sprawiał tylni panel - montaż siłowy na wcisk - nie wsuwany jak podano, ponad to panel tylni się ruszał, dołączone szkło hartowane nie trzymanie się telefonu mimo uprzedniego przygotowania wyświetlacza, dołączone ściereczki zamiast mokre były suche. Dokonano reklamacji - towar został wymieniony na inny bez ponoszenia kosztów.",0,1,N,0.0,0
"Niestety, kolor jest nietrwały i się zdrapuje. Boki już mam praktycznie starte i widać czarne rysy. Szkoda, ponieważ obudowa naprawdę fajnie wygląda i rzeczywiście na początku wyglądała dobrze i estetycznie. Jednak z kolejnymi dniami wyglądało to gorzej dlatego zdecydowałam się pomalować lakierem (co również nie wygląda dobrze ale chciałam dłużej zachować kolor). Z żalem stwierdzam, że obudowa tylko na chwilę",0,0,T,,0
"""Zakupiona do Laguny 2 ph1 z oryginalnym radiem """"Renault Tuner List"""", używam do niego kart microSD z przejściówką na SD 8GB Goodram. I super wszystko gra i śmiga, z pilota w kierownicy. Sam montaż jest bezproblemowy. Szkoda tylko, że taka duża wtyczka do samej zmieniarki jest i brak nazw utworów. Ogólnie - polecam jeżeli masz już dość manewrowania płytami.""",2,2,T,,2
"""Miernik przyszedł zupełnie rozkalibrowany. Na szczęście dają saszetki do kalibracji, niestety już je zużyłem i z ponowną kalibracją za jakiś czas będzie problem (lepiej gdyby można to było kalibrować czymś łatwo dostępnym - np wodą destylowaną i coca-colą). Czasem pokazuje dokładnie, czasem zupełnie """"świruje"""" i wyświetla losowo zupełnie rozbieżne wartości pH.""",1,1,T,,1
"Tak sobie. Niby lekki, zwinny i poręczny. Ale to chyba koniec jego zalet. Buczy jak stary kopciuch, ssanie też bez szału - dywanu nie porywa.  Na plus jest jeszcze bezworkowość. Ale cyklonowy? Jak zobaczyłam to u rodziców to miałam niemiłe skojarzenia z panem z kiepskim wąsikiem.  W każdym bądź razie odkurza jak każdy inny znany mi odkurzacz. ",0,0,T,,0
"Produkt godny polecenia ale ZAWSZE mam z nim jedne problem. Przy próbie wytarcia nadmiaru kleju zawsze wyjedzie go troszkę spod szkła. Dodatkowo tym razem nadmiar kleju wlał się do obudowy przez szpary przy bocznych klawiszach... pomimo zastosowanych, załączonych, podkładek, które ten nadmiar miały z boków pochłonąć. Wszystko zrobione zgodnie z instrukcją, a jednak.... Na Note 8 takiego wycieku nie miałem. ",2,1,N,0.0,0
"Wysoka jakość.  W stosunku do tanich odbiorników nie nagrzewa się nadmiernie.  Solidnie wykonany. W Galaxy S7 działa podobnie jak fabryczny w S8 - tanie cewki się bardzo nagrzewały - tutaj jak w fabrycznym wykonaniu. Jeżeli chcesz zamontować nad baterią - pod klapką to pewnie będzie za gruby, ale na pokrywie spisuje się rewelacyjnie Polecam.",2,2,T,,2
"Zaletą jest szeroki zakres napięć, regulacja w górę i w dół, oraz duży prą wejściowy 4A, wymagany duży radiator (podkładka n. teflon folia). Brak miękkiego startu (tylko twarde kluczowanie), krótkie piki na wyjściu przy starcie mogą sie pojawić, stabilna praca nawet z dodatkowym filtrem wyjściowym (napięcie błędu trzeba brać z obciążenia). Polecam.",2,2,T,,2
"Oceniam na +4. Etui cieniutkie, prawie nie zmienia grubości telefonu. Wystarcza jednak, aby ochronić tylny aparat (plecki są idealnie płaskie) Trochę słabo obejmuje boki, przez co ma tendencję do zsuwania się z rogów i z boku z przyciskami. Wycięcia dobrze wymierzone. Silikon nie ślizga się w ręku, można spokojnie położyć telefon na desce rozdzielczej w samochodzie - nie odjeżdża. Polecam.",2,2,T,,2
"DOBRA JAKOŚĆ PRODUKTU,FAJNIE SIĘ ROZWIJA,DOBRZE SIĘ SPRAWDZA PRZY MOTORZE PRZY KIEROWNICY BO JEST KRÓTKI I ZAWSZE WRACA NA SWOJE MIEJSCE,BRAK LUZÓW PO PODŁĄCZENIU DO TELEFONU W GNIEŹDZIE USB CO NIE ZAWSZE JEST OCZYWISTE NIEKTÓRE KABLE LATAJĄ NA BOKI I NIE ZAWSZE STYKA ŁADOWANIE.POLECAM SZCZEGÓLNIE DO MOTOCYKLI TĄ DŁUGOŚĆ LUB DŁUŻSZĄ W ZALEŻNOŚCI OD POTRZEB.",2,2,T,,2
"Obudowa wygląda dobrze. Po wyciągnięciu z pudełka ma się wrażenie, że odebraliśmy oryginał NOKIA. Nie mniej jednak wydaję się, że jest to dobry jakościowo zamiennik. Brakuję kilku wypustek w metalowym korpusie wewnętrznym, jeżeli porównujemy z oryginałem, ale nie przeszkadza to w złożeniu telefonu w jedną całość. Ze względu na wiek telefonu, taki zamiennik, za taką kwotę można przyjąć.",2,1,N,1.0,1
"""Produkt oryginalny. Po wymianie maszynka jak nowa - goli bezboleśnie, bez wibracji i hałasu.  Jeśli ktoś ma podstawowe umiejętności i cierpliwość, to możliwe jest rozebranie bloku na części i gruntowne oczyszczenie. Jeśli na golarce jest napisane """"use part 32B"""", to nie radzę zastępować tańszym 21B, bo będą niepotrzebne drgania i hałas. Wiem, bo raz się sam nadziałem z """"oszczędności"""".""",2,1,N,1.0,1
"Szkło zle przylega do telefonu. Tylko cieniutki pasek kleju trzymał szkło na telefonie i przez to pod szkło przyklejaly się brudy. Dodatkowo w miejscu kleju dotyk nie działa, co oznacza brak możliwości uzywania dotyku na skrajnych brzegach telefonu. Po jednym dniu użytkowania szkło musiało wyladowac w koszu z polecenia serwisanta w autoryzowanym serwisie Apple. Nie polecam, pieniądze wyrzucone w błoto. ",0,0,T,,0
"Sprzedającego ten produkt omijać z daleka. Sprzęt nie zgodny z tym co jest wystawione na aukcji,czyli starszy model. Widoczne były ślady użytkowania. Nie podłączyłem tych słuchawek bo nie był to ten model co widniał na aukcji. Reklamacja i zwrot odbyła się bez problemów z jedną małą rzeczą.. Nie mogłem odesłać w pakiecie Smart. ",0,0,T,,0
"Bardzo kiepskie wykonanie nie polecam zakupu. Klej naniesiony nie trzyma, dotyk źle wykrojony nie przylega do ramki w rogach, otwór na przycisk home zbyt wielki w konsekwencji przycisk lata na boki, trzeba się zaopatrzyć w klej B-7000, szkło nie dolane z wadą na środku w konsekwencji wielki bombel i o wiele za wąski od razu poszedł do kosza ",0,0,T,,0
"""Do codziennego użytkowania są rewelacyjne. Od lat kupuję wyłącznie te słuchawki ( w różnych opcjach np. ze składanym pałąkiem). Świetny dźwięk, wytrzymały kabel. Słuchawki są lekkie i dobrze trzymają się na głowie. Jeśli coś się psuje, to pęka właśnie plastik w trakcie """"transportu"""". Ale to już wina nieuważnego użytkownika ;-) Egzemplarz domowy śmiga bezawaryjnie od kilku lat.    """,2,2,T,,2
"Urządzenie kupione w celu użytkowania, jako budzik doskonale widoczny w nocy. Spełnia swą rolę doskonale, jednakże ekran dotykowy oraz menu ustawień jest niskiej jakości. To samo dotyczy wyboru wyświetlania czasu - po prostu nie ma go. Zdaję sobie sprawę, że jest to urządzenie mające służyć zupełnie innym celom, ale lepszą decyzją byłby tablet...",0,1,N,1.0,1
